id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
775,Projects split into phases typically include which sequence?,"Feasibility, concept, design, prototype","Initiate, plan, execute, monitor","Charter, activities, stakeholder expectations, performance","Stakeholders, concept, build, test",,1,,These phases reflect a standard project lifecycle.,,,,,,1500_questions.txt
776,"Jillian oversees Threads Three at Hospital Clothing, revamping order
processing. Stakeholders Jay and Alisha clash on requirements. Jillian
facilitates a resolution meeting. What technique did she use?",\* Interpersonal skills,\* Active listening,\* Stakeholder resolution,\* Management skills,,1,,"Interpersonal skills, like conflict resolution, helped her bridge
differences.",,,,,,1500_questions.txt
777,"Frances, new to agile at an educational software firm, seeks scheduling
advice from his mentor, who suggests on-demand scheduling. What does it
rely on?",\* A fixed schedule from stakeholder needs,\* Critical path dependencies,\* The project manager's expertise,\* A prioritized product backlog,,4,,"On-demand scheduling pulls work from a prioritized backlog as resources
free up.",,,,,,1500_questions.txt
778,"How do servant leaders, as agile role models, approach their work?
(Select three.)",They define purpose with the team's \'why.\',They measure outcomes against planned results.,They foster a people-centric success environment.,They prioritize process for results.,,,"1,3,4","Servant leaders focus on purpose, people, then process, serving the team
selflessly.",,,,,,1500_questions.txt
779,"You've set cost estimates for project activities, forming a baseline to
track variances. Which process established this?",Determine Budget,Develop Costs,Cost Control,Estimate Costs,,1,,Determine Budget locks in the cost baseline.,,,,,,1500_questions.txt
780,What's the tangible outcome of quantitative risk analysis?,Overall project risk exposure assessment,Probability and impact per risk,Priority level per risk,List of potential responses,,1,,"Quantitative analysis updates the risk register with exposure and
probabilistic insights.",,,,,,1500_questions.txt
781,"Organizational process asset updates from Control Scope exclude which
item?",Variation causes,Lessons learned,Work authorization system,Reasons for corrective actions,,3,,Work authorization isn't updated in scope control.,,,,,,1500_questions.txt
782,Control accounts serve what purpose?,Track personnel time charges,Sum costs at WBS level 2,Monitor management reserves,Measure performance at a basic level,,4,,"Control accounts integrate scope, budget, and schedule for performance
tracking.",,,,,,1500_questions.txt
783,"After change control yields 10 approved requests, what's the next
process?",Perform Integrated Change Control,Manage Project Knowledge,Direct and Manage Project Work,Develop Project Management Plan,,3,,Approved changes are executed via Direct and Manage Project Work.,,,,,,1500_questions.txt
784,"Larissa's Project SOV hit its \$220,000 cost baseline, with execution
done and customer acceptance gained. She's closing procurements and
plans to review other baselines Monday. What's the project's status?","\* Complete, as budget was met.","\* Incomplete, lacking scope validation.","\* Complete, with customer acceptance.","\* Incomplete, pending final reporting.",,4,,"Final performance reporting remains undone, so it's not complete.",,,,,,1500_questions.txt
785,"To ensure stakeholders get meaningful progress data, blending their info
needs with value analysis, where do you document this?",Communications register,Stakeholder register,Stakeholder management plan,Communications management plan,,4,,The communications management plan tailors info to stakeholder needs.,,,,,,1500_questions.txt
786,"To cut delays from misunderstandings in a cross-cultural team, what
should the project manager prioritize next?",Host a workshop.,Form a focus group.,Specify communication content.,Consult external stakeholders.,,3,,Defining what's communicated reduces confusion upfront.,,,,,,1500_questions.txt
787,"An external resource flags an expiring contract. Which document should
the project manager check?",Organizational process assets,Project contract,Organization chart,Resource management plan,,2,,The contract holds the expiration details.,,,,,,1500_questions.txt
788,"Which tools and techniques---decomposition, rolling wave planning, and
templates---belong to what process?",Define Activities,Estimate Activity Durations,Develop Schedule,Sequence Activities,,1,,These aid in breaking down and defining activities.,,,,,,1500_questions.txt
789,"With a sponsor's high-level vision for a product due in three months at
a trade show, what scheduling technique fits best?","Iterate work for an overview, refining details over time.","Use temporary tasks to show leads and lags, adjusting later.",Baseline the schedule and lock scope.,Run Monte Carlo for a date range with vague requirements.,,1,,Iterative scheduling adapts to evolving needs.,,,,,,1500_questions.txt
790,"Stakeholders disagree on a scope change approval. What tool should the
project manager use?",Affinity diagram,Multicriteria decision analysis,Autocratic decision making,Alternatives analysis,,2,,Multicriteria analysis weighs options objectively.,,,,,,1500_questions.txt
791,Who decides mandatory dependencies in Sequence Activities?,Project manager,External stakeholders,Internal stakeholders,Project team,,4,,The team identifies critical dependencies.,,,,,,1500_questions.txt
792,"A stakeholder satisfaction survey gets few responses. How should the
project manager boost input?",Share a lessons learned report for feedback.,Extend the deadline with a reward incentive.,Use interviews and feedback meetings.,Log the issue and escalate to seniors.,,3,,Direct engagement like interviews yields better responses.,,,,,,1500_questions.txt
793,"A stakeholder notes Project B might launch before Project A's execution,
easing A's workload. What should the project manager do?",Log it as a threat in the risk register.,Request Project B's critical path.,Adjust Project A's scope.,Record it as an opportunity in the risk register.,,4,,It's a beneficial opportunity to leverage.,,,,,,1500_questions.txt
794,"In Define Activities, how does the schedule management plan function?",Logs lessons from past projects.,Holds the standard activity list.,Supports change request documentation.,Sets the detail level for work management.,,4,,It guides the granularity of activity definition.,,,,,,1500_questions.txt
795,What boosts the odds of success for a multidisciplinary project team?,Problem-solving focus,Sensitivity to top management's political needs,Emphasis on individual tasks,Customer demand orientation,,1,,"Problem-oriented teams adapt and solve issues effectively, enhancing
project outcomes.",,,,,,1500_questions.txt
